"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1988106338359275930","Tue Nov 11 04:47:42 +0000 2025","0","Kapolsek Ngusikan melaksanakan kegiatan pengecekan tanaman jagung di Desa Mojodanu Kec. Ngusikan Kab. Jombang untuk mendukung program ketahanan pangan demi mewujudkan Swasembada Pangan Negara Republik Indonesia @ssdm_polri @divisihumaspolri @humaspoldajatim https://t.co/MCyNzJ1NcK","1988106338359275930","https://pbs.twimg.com/media/G5csLIZbcAINjOd.jpg","","in","","0","0","0","https://x.com/undefined/status/1988106338359275930","1784195669508685826",
"1987817696071946518","Tue Nov 11 04:41:47 +0000 2025","0","@salam4jari Gak ada tokoh sejarah yg sempurna. Semua pasti ada dark side masing-masing. Tapi pak Soeharto punya jas besar kyk swasembada pangan stanilitas ekonomi dan pembangunan. Kritik boleh tapi jangan sampe tutup mata dengan sisi positifnya","1988104847074488581","","salam4jari","in","","0","0","0","https://x.com/undefined/status/1988104847074488581","1509378589916991488",
"1988104723703165028","Tue Nov 11 04:41:17 +0000 2025","0","Kapolres Jombang Polda Jatim AKBP Ardi Kurniawan S.H. S.I.K. CPHR. memerintahkan Kapolsek Ngusikan melaksanakan kegiatan pengecekan tanaman jagung di Desa Mojodanu Kec. Ngusikan Kab. Jombang untuk mendukung program ketahanan pangan demi mewujudkan Swasembada Pangan @ssdm_ https://t.co/Royk3vSiOA","1988104723703165028","https://pbs.twimg.com/media/G5cqrQNbcAAXiAL.jpg","","in","","0","0","0","https://x.com/undefined/status/1988104723703165028","1470632172641943552",
"1988103220175269939","Tue Nov 11 04:35:19 +0000 2025","0","Tak sekadar swasembada tapi jadi penyuplai pangan dunia masa depan cerah Indonesia! https://t.co/tVuiIKaYQG","1988103220175269939","https://pbs.twimg.com/media/G5cpTxabcAAFmjW.jpg","","in","","0","0","0","https://x.com/undefined/status/1988103220175269939","1515123019",
"1988102700282900922","Tue Nov 11 04:33:15 +0000 2025","0","Menjawab tantangan global! Indonesia siap menyumbang Ketahanan Pangan Dunia. Kunci sukses ada di pencapaian target Swasembada dan peningkatan produksi. Investasi di sektor pertanian terus ditingkatkan. https://t.co/nHaudRZkgu","1988102700282900922","https://pbs.twimg.com/amplify_video_thumb/1988102631752167429/img/C3HBNLung6ErDWut.jpg","","in","","0","0","0","https://x.com/undefined/status/1988102700282900922","1515123019",
"1988101382503887337","Tue Nov 11 04:28:01 +0000 2025","0","Ngomongin Soeharto pasti inget pembangunan masif dan swasembada pangan figurnya penuh inspirasi. Wajar rasa bangga itu muncul #SoehartoPahlawan https://t.co/JlccdyMLMV","1988101382503887337","https://pbs.twimg.com/media/G5cnqByacAA9bug.jpg","","in","","0","0","0","https://x.com/undefined/status/1988101382503887337","1681571556580012032",
"1987667427568800206","Tue Nov 11 04:27:01 +0000 2025","0","@YuddyMelly @windewaoke @Flyingfighter27 Baik zaman dulu sama zaman sekarang nggak ada bedanya cuma naik nilainya aja. Swasembada pangan yang mana? Yang kedok ujung2nya jadi lahan sawit dan deforestasi ? Mau cetak sawah dan trans kan harus buka lahan kayunya emang kamu nikmatin? Nggak toh. Dulu kayu kita lgsg ekspor.","1988101129457348639","","YuddyMelly","in","","0","1","0","https://x.com/undefined/status/1988101129457348639","1490093702198431746",
"1988099735526506825","Tue Nov 11 04:21:28 +0000 2025","0","sebagai sosok yang layak diberikan gelar pahlawan dengan berbagai macam jasa yang tentunya JasaTakTerlupakan mulai dari pembangunan hingga swasembada pangan yang berhasil beliau pertahankan https://t.co/qnGU1c1Nod","1988099735526506825","https://pbs.twimg.com/media/G5cmClMbcAQdOHc.jpg","","in","","0","0","0","https://x.com/undefined/status/1988099735526506825","1920973713186713600",
"1988097286388543873","Tue Nov 11 04:11:44 +0000 2025","0","melihat era bapak pembangunan indonesia dedikasinya menciptakan stabilitas &amp; mendorong kemajuan adl JasaTakTerlupakan. 🇮🇩 dr swasembada pangan hingga pembangunan infrastruktur masif warisannya layak mendapat gelar pahlawan atas peningkatan kualitas hidup masyarakat. https://t.co/yCc57IPkCS","1988097286388543873","https://pbs.twimg.com/media/G5cj7iobcAUpkMb.jpg","","in","","0","0","0","https://x.com/undefined/status/1988097286388543873","1923359058012299264",
"1988033938879902117","Tue Nov 11 04:07:55 +0000 2025","1","@ARSIPAJA Mantap jasa pahlawan nasional bpk. Suharto dari penyelamat UUD 45 terhadap tragedi 1965 sampai swasembada pangan dan swasembada pesawat.","1988096323783176295","","ARSIPAJA","in","","0","0","0","https://x.com/undefined/status/1988096323783176295","796730734421639168",
